frame,rmse,mae,max_abs,ref_min,ref_max,ref_mean,ref_std
0,0.039815396517064755,0.0028183128528417667,1.116198016,-0.20067969,0.43479985,0.001955542755861847,0.02639321618520878
1,0.031799779139303735,0.0020042540388183596,0.9753177800000001,-0.20543739,0.34404457,0.0018493886025390625,0.02302596332535255
2,0.03750906831919306,0.003392599788330078,0.717056475,-0.25082967,0.32410145,0.002103461362792969,0.0243398658510947
3,0.04271098933378016,0.0043202753814697275,0.46207812,-0.25416267,0.33014682,0.0024952535498046872,0.02687838036520567
4,0.05274009406899704,0.005595885836242676,0.5598470600000001,-0.24708886,0.34001446,0.002898664607421875,0.029491036860883307
5,0.06258736917439889,0.006861984761364745,0.6504870599999999,-0.20269617,0.30279312,0.0029275635482421875,0.027854583007550542
6,0.06398364916223266,0.0073552337998962405,0.6427516,-0.17623535,0.29060775,0.003042629781555176,0.02761715975362806
7,0.07480045102275092,0.009319280611404114,0.69185303,-0.09003356,0.20624818,0.002780224261666565,0.022402579541271297
8,0.03884060306802949,0.004705401101106262,0.39226685000000006,-0.096564375,0.17442137,0.002409345216609192,0.0193283655780396
9,0.03839034114841433,0.004879809733096313,0.41882207000000005,-0.13499662,0.15463692,0.0022806814426940916,0.01778093489806584
10,0.03493940309859765,0.004257466775491333,0.35674761,-0.1556097,0.12726592,0.0018242794216522214,0.0144746071849811
11,0.03139293740054143,0.004003747464305725,0.4251988099999999,-0.1886216,0.1243762,0.001703542520555725,0.013892202126753673
12,0.023226844414566367,0.0029936848343170164,0.36587412999999996,-0.35025918,0.15679926,0.0018781431017333983,0.01726896282272052
13,0.02459576409030888,0.003182605798191833,0.44978821,-0.30177176,0.1828759,0.0022039656061035155,0.019260998905310082
14,0.027033874272679857,0.0036249221130158385,0.46194738,-0.45839113,0.1649453,0.0018337334706922301,0.01858910760523577
15,0.024561543649692145,0.00331179798579834,0.42367729,-0.42864624,0.17639016,0.0019387012810943606,0.019166178316620937
16,0.02649308314253007,0.0036779502454833985,0.37765934,-0.5964577,0.22203745,0.00219371740892334,0.023971427602189264
17,0.0342500198374531,0.004921013400822143,0.4563077,-0.5925053,0.18437913,0.0023295002735317996,0.02234103913861625
18,0.022657028876546637,0.003245112059803223,0.3729596,-0.60785246,0.12900642,0.0013543862951853026,0.01800974393231581
19,0.01872388707349109,0.002693781499018555,0.35291945999999996,-0.6073114,0.12159295,0.0012200901062673951,0.018355226108551777
20,0.01937901900452055,0.002834415974378235,0.34129830000000005,-0.58517265,0.116103634,0.00116221547078125,0.017643015273365776
21,0.017543558997244052,0.002622761440193176,0.3011063,-0.57215005,0.12385738,0.0011872673899124145,0.01803042513381196
22,0.020647741309358206,0.003164030490720078,0.25311320000000004,-0.568103,0.12332212,0.0012697309850381315,0.017856080467241662
23,0.021769422205119914,0.0032740808863969423,0.23350571999999997,-0.563686,0.09837833,0.0010210461503369142,0.016215619615924236
24,0.017219960460721474,0.0024943960823599243,0.257969,-0.5670361,0.09763929,0.0008114602044396972,0.01539810595535285
25,0.015939231021044716,0.002413797657769165,0.245057,-0.5723698,0.10524264,0.0008443692156188964,0.016240393825387233
26,0.01704112193658893,0.002611314879586609,0.27103042,-0.58470494,0.10400615,0.0008691187016938477,0.017385561966062023
27,0.020485422583015365,0.0032498619209083554,0.27654716,-0.5788861,0.12460733,0.0011984183842144776,0.019114227805400952
28,0.023525794040471074,0.003968860774523925,0.30911370000000005,-0.58433807,0.16595446,0.0016837666379629517,0.022560756460361663
29,0.033130448087525875,0.005600513042342997,0.32844112000000003,-0.5835684,0.1828094,0.0019029183949586395,0.024320400181615465
30,0.043945702701580366,0.007396940362509461,0.45457682999999993,-0.5748277,0.14996794,0.001587024457519226,0.021228106119767765
31,0.03278579912678604,0.005507612947539673,0.34806995,-0.5753399,0.14961879,0.0016673657486511232,0.02147111660948595
32,0.03527072891780008,0.0059852136691369625,0.43310588499999997,-0.5754412,0.13975345,0.0015302534388815306,0.02089428410038228
33,0.03317587886665353,0.00569427422208435,0.46433625999999995,-0.5773782,0.12603432,0.0012670081937472535,0.020156269346179565
34,0.0309502482749065,0.005395810546225891,0.48040113400000006,-0.576082,0.12319021,0.001239827011775818,0.02027858466940404
35,0.02897155997592901,0.005112333766608888,0.443007025,-0.58945334,0.10430417,0.0006057725570315552,0.019238301061334562
36,0.026565455015456266,0.004770718592180634,0.41577669,-0.5989005,0.08840584,0.00010451123965805053,0.01941607227223543
37,0.027111822911634012,0.004866277170568084,0.46451184999999995,-0.6061141,0.082191795,-0.0002977928579231262,0.020096406096178326
38,0.026227525086805873,0.004671836317522278,0.380020985,-0.61317694,0.083140746,-0.0005498148682199096,0.020582319048520703
39,0.023635073284996855,0.004105036988183288,0.42886940999999995,-0.62899894,0.12718341,-0.000633233463611145,0.023656699547641307
40,0.02554533190829518,0.00458330037307825,0.31039122,-0.62120163,0.103359744,-0.0007843804365242006,0.022832164146886928
41,0.027098782777470073,0.004610528948511291,0.4557787,-0.6169352,0.0839189,-0.0010955919059577027,0.0221209073090405
42,0.026959663712310986,0.0046453769301132205,0.38650771,-0.61580604,0.08187512,-0.000972785459461975,0.021819352850730292
43,0.026354375026508718,0.004631979099872619,0.47383956000000005,-0.6253884,0.06336624,-0.0015189557188644408,0.021859247951774793
44,0.023610800032089506,0.004298530384128021,0.36810583999999996,-0.623411,0.08475083,-0.001431132327745758,0.021417868188295067
45,0.01921074644502697,0.003491617387506775,0.31109122,-0.63152766,0.07878413,-0.0012066075757526857,0.02181445564541457
46,0.018522173697179456,0.003446984217629639,0.30087768000000004,-0.62218714,0.099855095,-0.0012299052249368895,0.021080199528779597
47,0.017650348141977124,0.0032364146305455324,0.2991354,-0.6144707,0.10871259,-0.0008588650035596924,0.02035767236790843
48,0.01310705216673278,0.002154975354929916,0.2720103,-0.609856,0.1229533,-0.0008640501801491698,0.020796832905728164
49,0.014758730684939892,0.0024899098191520385,0.47567974999999996,-0.6022242,0.13105623,-0.0008071355748849486,0.022139902748980176
50,0.013793238460265948,0.0024504888769609984,0.28381264,-0.5999254,0.12216753,-0.0008039198953650819,0.023088901983328747
51,0.014600042501470945,0.002766417370398621,0.245703049,-0.5987031,0.11116578,-0.0009145835962077027,0.024081472252108486
52,0.014711281744291965,0.0028374180538345644,0.22839473000000002,-0.5944434,0.10532964,-0.0008507294416051942,0.02430722097337269
53,0.015973101336912654,0.003369400733663656,0.26289675999999995,-0.58687025,0.109736785,-0.0009752048620394897,0.025206561380421873
54,0.01762640665497213,0.0035338139783716123,0.38447845999999997,-0.5819697,0.09101109,-0.0010368200204618225,0.02539857945230912
55,0.01590570828776646,0.003431180658638886,0.231740234,-0.5782437,0.11423741,-0.0008582587551269226,0.026048723154716586
56,0.019886709016089948,0.004196531434370026,0.21396778,-0.56486976,0.12400677,-0.00048775670326718136,0.025713906220161637
57,0.024842204659450497,0.0052330334531825555,0.25097331,-0.55541384,0.12355999,-0.00026329906723376466,0.025362329023590625
58,0.03375453774247287,0.007004802524433288,0.42323299000000003,-0.5490135,0.10534694,-0.00023792079483276368,0.02515531516960271
59,0.032013631680684614,0.006691806641073181,0.399265757,-0.5501927,0.100300364,-0.000572013358708313,0.02521013824615112
60,0.02507698823010727,0.005259217336889161,0.308476795,-0.54978687,0.10515522,-0.0007456173473327635,0.024939759446976843
61,0.018305256233223034,0.003923019418056366,0.21347973999999997,-0.5538064,0.11499252,-0.0006573693658673095,0.0261012111235733
62,0.02527929407675549,0.0053688716444326295,0.29791861,-0.54359615,0.108673126,-0.0007159154948999939,0.025163423537905356
63,0.02094595247698099,0.004494017237078613,0.271587994,-0.5416303,0.11728894,-0.001134288848630188,0.02502471561650426
64,0.016579345844951972,0.003599423286895798,0.24039184000000002,-0.5395616,0.115270644,-0.001357104870463608,0.025377282979570277
65,0.016039336430712488,0.003455775146769702,0.28107181999999997,-0.5410356,0.100624435,-0.0015788791043702699,0.026445303902266074
66,0.02427386544112457,0.005173732997455872,0.34331304,-0.5352617,0.10339079,-0.0018170149476440123,0.026232338183808254
67,0.02454880156914614,0.0052488805102740175,0.40255657999999994,-0.5269376,0.11360576,-0.0019883507794074707,0.026034956073907375
68,0.027349651400787114,0.0060641204855184936,0.31837413600000003,-0.50315005,0.14699776,-0.0017312022841156007,0.026442661189189996
69,0.016752170896893594,0.0036265273511802976,0.24599163,-0.50632006,0.13269264,-0.001902685217403046,0.026236191438849633
70,0.017567857547951926,0.0039009979954657136,0.25446769999999996,-0.48829263,0.14091074,-0.0012768479553240202,0.025745476903534577
71,0.018288344423293152,0.004150244986085205,0.25614544,-0.4684786,0.15162367,-0.00011230596404388433,0.02525305604009003
72,0.016396024428712224,0.0037992616601108704,0.22181069,-0.47465536,0.12922812,-0.0011774822476909486,0.025406567154994744
73,0.016631813332961556,0.003992635317724579,0.1981591,-0.46764672,0.12595709,-0.0011476572227445984,0.02575742084921951
74,0.018431518681387087,0.004604873145471802,0.20215153400000002,-0.45758647,0.12633574,-0.0008219843604846191,0.025478604575885015
75,0.019598792571277487,0.004628432979166992,0.19854333,-0.4205016,0.16730705,0.0011493961563402099,0.026304169290166855
76,0.01889246820742295,0.004777537235502106,0.23951296,-0.4228573,0.15980378,0.0019618887052167662,0.02628513865483748
77,0.023680465979028127,0.005950536982303558,0.21935268000000002,-0.4404411,0.14268377,0.0009207092082533264,0.0254777886040459
78,0.025817012200561013,0.006523837534151977,0.2300439,-0.43943772,0.14378935,0.001277011997781494,0.02558312659058334
79,0.02924252833195909,0.007718481615163512,0.25264408,-0.43910882,0.13902998,0.0013175702858959353,0.02571880978937548
