haato,haachama,sensor,fish,vortex_id,min_distance,max_vorticity,label
1,6,S4,False,0,37.0,0.4943058954923112,not relevant
1,6,S4,False,1,55.08175741568164,0.20372005445199015,not relevant
1,6,S4,False,2,9.433981132056603,0.35310058728695837,not relevant
1,6,S4,False,3,9.0,0.3970469110290755,not relevant
6,2,S4,False,0,51.62363799656123,0.5778963779928508,not relevant
6,2,S4,False,1,61.85466837676846,0.37102414524040533,not relevant
6,2,S4,False,2,59.033888572581766,0.4893340191717571,not relevant
6,2,S4,False,3,32.2490309931942,0.3427865785294376,not relevant
6,2,S4,False,4,33.015148038438355,0.23294130532992235,not relevant
23,11,S1,True,0,50.635955604688654,0.20259027775974275,not relevant
23,11,S1,True,1,56.92099788303083,0.5840888043045266,not relevant
23,11,S1,True,2,49.39635614091387,0.4160675354891491,not relevant
23,11,S1,True,3,55.46169849544819,0.5301289602663213,not relevant
23,11,S1,True,4,58.872744118140105,0.11316744658125932,not relevant
23,11,S1,True,5,40.0,0.4062903878606205,not relevant
23,11,S1,True,6,37.33630940518894,0.2696696394210229,not relevant
23,11,S1,True,7,36.124783736376884,0.40779737496773033,not relevant
3,6,S1,False,0,56.71860364994893,0.47600972400092245,not relevant
3,6,S1,False,1,9.0,0.5958627812913906,not relevant
6,13,S4,True,0,56.859475903318,0.25576983029005596,not relevant
6,13,S4,True,1,60.21627686929839,0.4860026798813276,not relevant
6,13,S4,True,2,30.083217912982647,0.7443546929868756,not relevant
6,13,S4,True,3,66.61080993352356,0.10853991425593519,not relevant
6,13,S4,True,4,36.22154055254967,0.2910678090617276,not relevant
22,6,S2,True,0,1.4142135623730951,0.5571072580528466,not relevant
22,6,S2,True,1,5.0,0.3616368813140277,not relevant
22,6,S2,True,2,2.23606797749979,0.38121504075635704,not relevant
22,6,S2,True,3,54.230987451824994,0.3940285956999049,not relevant
1,18,S4,False,0,53.150729063673246,0.6267614686198653,not relevant
1,18,S4,False,1,59.90826320300064,0.6883858105248037,not relevant
1,18,S4,False,2,39.6232255123179,0.530629109702592,not relevant
1,18,S4,False,3,9.0,0.6346609060678982,not relevant
1,18,S4,False,4,5.656854249492381,0.6619002493672093,not relevant
1,18,S4,False,5,9.486832980505138,0.6461744880177331,not relevant
30,5,S4,False,0,27.80287754891569,0.4609774194782419,not relevant
30,5,S4,False,1,43.01162633521314,0.45682312742283226,not relevant
30,5,S4,False,2,53.81449618829484,0.43130120683946205,not relevant
30,5,S4,False,3,61.84658438426491,0.35659066864766875,not relevant
14,12,S1,False,0,56.22277118748239,0.5976468567365572,match
14,12,S1,False,1,47.53945729601885,0.5799706764317596,not relevant
14,12,S1,False,2,35.84689665786984,0.5102128730952267,not relevant
14,12,S1,False,3,42.2965719651132,0.4102291058103449,not relevant
14,12,S1,False,4,49.36598018878993,0.5335101227395158,not relevant
14,12,S1,False,5,4.0,0.5455162342274551,not relevant
14,12,S1,False,6,8.54400374531753,0.538889228695165,not relevant
14,12,S1,False,7,8.0,0.1483382535355999,not relevant
14,12,S1,False,8,5.830951894845301,0.4500711666799989,not relevant
10,4,S4,False,0,64.47480127925948,0.33069043682525645,not relevant
10,4,S4,False,1,34.52535300326414,0.4814434464027719,not relevant
10,4,S4,False,2,39.11521443121589,0.3334457937535103,not relevant
10,4,S4,False,3,32.55764119219941,0.48909068504265063,not relevant
9,8,S2,True,0,8.48528137423857,0.4565266379601283,not relevant
9,8,S2,True,1,8.06225774829855,0.3396317513314854,not relevant
9,8,S2,True,2,49.0,0.3409434964507516,not relevant
9,8,S2,True,3,32.69556544854363,0.7230157058764362,not relevant
9,8,S2,True,4,47.0,0.20414736179471377,not relevant
9,8,S2,True,5,54.0,0.2451956905061085,not relevant
9,8,S2,True,6,41.048751503547585,0.8787561458910251,not relevant
9,8,S2,True,7,33.97057550292606,0.2660382696220678,not relevant
