haato,haachama,sensor,fish,vortex_id,min_distance,max_vorticity,label,duration,displacement,avg_speed,max_speed,mean_vorticity,std_vorticity
1,2,S4,False,5,21.02379604162864,0.1409613448213859,semi match,580,28.178005607210743,0.04858276828829439,2.23606797749979,0.3293512086154958,0.0574011093117061
1,2,S4,True,5,52.15361924162119,0.3106298690679566,match,56,4.123105625617661,0.07362688617174394,1.0,0.35841803116691434,0.03388972342290096
1,2,S4,True,6,53.9351462406472,0.1157849930753098,match,125,1.4142135623730951,0.011313708498984762,4.0,0.26605949690155256,0.14954089842086377
1,3,S4,False,0,59.43904440685432,0.4465203974083249,no match,292,20.396078054371138,0.06984958237798335,4.0,0.26100731408886557,0.10320564660430029
1,3,S4,False,2,50.32891812864648,0.5194130321939141,match,264,23.08679276123039,0.08744997258041814,1.0,0.42481946669873066,0.06863374341187602
1,3,S4,True,0,52.009614495783374,0.5597697989880579,match,313,9.899494936611665,0.03162777935019701,3.605551275463989,0.2334090963266996,0.06919813546401785
1,3,S4,True,1,50.21951811795888,0.3317561861237987,match,312,19.1049731745428,0.06123388837994487,2.23606797749979,0.5158115494904674,0.10483877135766001
1,3,S4,True,2,54.589376255824725,0.8023675012768713,match,311,21.400934559032695,0.06881329440203439,2.23606797749979,0.3834404529138831,0.01463592327068187
1,4,S1,True,2,49.49747468305833,0.2419531856049698,match,479,31.622776601683793,0.06601832275925636,4.242640687119285,0.29361245240704115,0.2170796172385562
1,4,S2,False,0,34.438350715445125,0.6042359318730492,match,425,38.07886552931954,0.08959733065722246,1.4142135623730951,0.46676045410842554,0.07250297978775039
1,4,S2,False,3,8.94427190999916,0.3420268390667007,match,333,28.319604517012593,0.08504385740844622,1.4142135623730951,0.24062228897674676,0.0457234769293203
1,4,S2,True,0,52.49761899362675,0.2297845048078125,match,25,10.198039027185569,0.4079215610874228,1.0,0.16908184715895985,0.035687702515208926
1,4,S2,True,1,47.8539444560216,0.2094063011119524,match,410,35.77708763999664,0.08726118936584545,4.47213595499958,0.23788841779944114,0.25544882657616286
1,5,S1,False,3,53.33854141237835,0.502209020302685,no match,221,31.144823004794873,0.14092680092667365,3.1622776601683795,0.2186107909070351,0.03167704434466024
1,5,S1,False,4,52.009614495783374,0.3573036279903043,semi match,194,32.55764119219941,0.16782289274329593,4.47213595499958,0.34548689582244174,0.3571275446241241
1,5,S1,True,2,46.2709412050371,0.3237496310804199,match,345,13.92838827718412,0.04037213993386701,4.47213595499958,0.14444069916302685,0.03817452085574252
1,5,S2,False,2,4.0,0.4485088592246623,no match,134,33.015148038438355,0.2463817017793907,3.0,0.35468475212764794,0.07740578511475119
1,5,S2,True,0,43.17406628984581,0.2922203467504468,match,202,5.0,0.024752475247524754,2.23606797749979,0.132554922714548,0.05171643401113995
1,5,S2,True,1,51.35172830587107,0.4086135662612555,match,348,24.186773244895647,0.06950222196809094,1.4142135623730951,0.17981718925626816,0.03167789465066776
1,9,S1,True,3,43.73785545725808,0.1978026338603944,match,268,12.165525060596439,0.04539375022610612,3.1622776601683795,0.1495722944975259,0.012478946835521221
1,9,S2,True,5,57.21887800367987,0.2340518815239701,semi match,7,1.0,0.14285714285714285,1.0,0.10656376583660135,0.0032844176628983634
1,9,S2,True,6,43.18564576337837,0.8231370385514184,match,1,0.0,0.0,0.0,0.10064128133001758,0.0
1,9,S2,True,9,59.77457653551382,0.2514877508424314,match,218,13.341664064126334,0.06120029387213915,2.0,0.19792621745011454,0.03260416268565897
1,10,S4,False,0,2.0,0.3892162183962382,match,132,25.96150997149434,0.1966781058446541,4.0,0.3176917645810264,0.32171903293623
1,10,S4,False,1,5.0,0.4703108713390399,match,50,11.0,0.22,1.4142135623730951,0.4176721063166041,0.02082093774921718
1,10,S4,True,2,27.018512172212592,0.1751351289881374,semi match,178,10.770329614269007,0.06050746974308431,1.4142135623730951,0.15413895195005844,0.02141054330921191
1,11,S4,False,2,36.87817782917155,0.4043400437990149,no match,28,4.123105625617661,0.14725377234348788,1.4142135623730951,0.17347308557380417,0.028273992594687835
1,11,S4,False,3,45.5411901469428,0.4605769204251299,match,235,20.591260281974,0.08762238417861277,1.4142135623730951,0.3612884281999307,0.0328664092802782
1,11,S4,True,2,6.324555320336759,0.2726721018869765,match,329,14.866068747318506,0.045185619292761416,1.4142135623730951,0.2533303765917287,0.06999165586101908
1,11,S4,True,3,44.10215414239989,0.4318665599391656,match,326,16.0,0.049079754601226995,4.242640687119285,0.14913803968867204,0.12137691107612056
1,11,S4,True,4,48.373546489791295,0.4908211960758403,match,239,9.055385138137417,0.03788864074534484,1.4142135623730951,0.20106942559273835,0.0747652842401108
1,12,S4,False,0,55.57877292636101,0.6486348792676658,match,33,5.0,0.15151515151515152,4.47213595499958,0.4762214345310941,0.2285770744263825
1,16,S4,True,0,47.16990566028302,0.1834499868594064,no match,213,13.341664064126334,0.06263692048885602,3.0,0.23986150777447224,0.16212508787881674
1,16,S4,True,1,5.0990195135927845,0.4077859947035345,no match,210,12.806248474865697,0.06098213559459856,4.242640687119285,0.21798243759247363,0.2241838287247474
1,16,S4,True,2,7.810249675906654,0.421373805370249,no match,63,4.47213595499958,0.07098628499999332,4.123105625617661,0.1766760273723925,0.03280006849469651
1,21,S1,False,3,1.0,0.5634425834175482,semi match,197,31.04834939252005,0.1576058344797972,1.4142135623730951,0.3515514764665665,0.1542855066770578
1,21,S1,False,4,5.830951894845301,0.6388911598364886,semi match,17,3.0,0.17647058823529413,1.0,0.260615759599649,0.003954895738173844
