conv_channels,kernel_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
2,1,0.000462258900102083,0.00021233911067827617,200,32,0.7177914110429447,0.7446808510638298,0.7204301075268817,0.1747048795223236,22
4,1,2.5081156860452307e-05,0.0005142344384136116,200,16,0.6748466257668712,0.7446808510638298,0.7634408602150538,0.16601864993572235,28
4,5,1.7541893487450798e-05,0.0004951769101112702,100,16,0.7085889570552147,0.7446808510638298,0.7204301075268817,0.17398647964000702,93
2,1,0.0001569639638866114,0.0009218742350231169,100,64,0.6779141104294478,0.7021276595744681,0.7526881720430108,0.1747380793094635,38
2,3,1.4096175149815848e-05,0.0009868869366005174,200,16,0.6840490797546013,0.723404255319149,0.7849462365591398,0.1713050901889801,163
1,1,4.589824181495648e-05,6.355835028602363e-05,100,16,0.6625766871165644,0.723404255319149,0.7419354838709677,0.18066702783107758,99
4,3,0.00011103647313054615,0.00042754101835854963,100,64,0.6871165644171779,0.7446808510638298,0.7204301075268817,0.16274520754814148,59
2,1,3.797544798678414e-05,0.00016122128725400443,50,16,0.6809815950920245,0.723404255319149,0.7526881720430108,0.1752273440361023,38
1,1,2.8567374298471872e-05,0.00042710778862625634,50,16,0.6411042944785276,0.6808510638297872,0.6559139784946236,0.2216557413339615,50
2,1,5.336533066379606e-05,0.0009717820827209606,200,64,0.6809815950920245,0.7021276595744681,0.7526881720430108,0.17503857612609863,105
4,3,0.00017794302536558007,0.0007005599298249164,100,64,0.6809815950920245,0.7659574468085106,0.7419354838709677,0.16131040453910828,30
4,3,0.0002098228129754324,0.0007148678671693446,100,64,0.6809815950920245,0.7446808510638298,0.7311827956989247,0.16064652800559998,30
4,3,0.0002876787735639574,0.0007111146229686241,100,64,0.6809815950920245,0.7659574468085106,0.7419354838709677,0.15936726331710815,30
4,3,0.0005690752575018967,0.0007235869649077679,100,64,0.7116564417177914,0.7446808510638298,0.7204301075268817,0.15693342685699463,29
4,3,0.0009387877341012433,0.0007574565478903961,100,32,0.7515337423312883,0.7446808510638298,0.7204301075268817,0.16018925607204437,18
4,5,0.0004015669580362672,0.000837871151709892,100,64,0.7300613496932515,0.7659574468085106,0.7311827956989247,0.1637773960828781,28
1,3,0.0009963130630529925,0.0006224726427329588,50,64,0.6809815950920245,0.723404255319149,0.7741935483870968,0.17881818115711212,22
4,3,0.00037522147431428486,0.0006027457841082509,100,64,0.7085889570552147,0.7446808510638298,0.7096774193548387,0.15914449095726013,36
4,3,0.0005816529904700407,0.00031272886461338655,100,32,0.7638036809815951,0.7446808510638298,0.6989247311827957,0.15882810950279236,28
4,5,9.029245888295042e-05,0.00029983457679571077,50,32,0.7085889570552147,0.7446808510638298,0.7311827956989247,0.17113810777664185,36
1,3,0.0005870003699497556,0.00031933766494342123,100,32,0.6932515337423313,0.7446808510638298,0.7956989247311828,0.17966590821743011,20
4,3,0.0005958158953595097,0.0005895374498936983,100,32,0.7668711656441718,0.7446808510638298,0.6989247311827957,0.15888908505439758,28
4,3,0.0006409081212615629,0.0005915176709957255,100,32,0.7668711656441718,0.7446808510638298,0.7096774193548387,0.15896980464458466,28
4,3,0.0007030969763625747,0.0008165352680105366,100,32,0.7699386503067485,0.7446808510638298,0.7204301075268817,0.1591164618730545,28
4,3,0.00025509841434620745,0.00033515821218357497,100,32,0.7024539877300614,0.7446808510638298,0.7311827956989247,0.15795083343982697,28
4,3,0.0002679448562185054,0.00031874259599615673,100,32,0.7085889570552147,0.7446808510638298,0.7204301075268817,0.1577647626399994,28
4,5,0.0002471145301894644,0.00020462666791991595,100,32,0.7392638036809815,0.7446808510638298,0.7419354838709677,0.16593481600284576,28
4,3,0.0001284504194968561,3.1310775666932536e-05,100,32,0.7208588957055214,0.7446808510638298,0.7204301075268817,0.1609450876712799,52
1,3,0.00030930266642325785,0.00037827121265364465,200,32,0.6717791411042945,0.7021276595744681,0.7311827956989247,0.1797587275505066,22
4,3,9.724503767102149e-05,0.00024089130710607237,50,32,0.6779141104294478,0.7446808510638298,0.7419354838709677,0.16223645210266113,36
