dataset,hidden_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
nadia,4,0.000852049911662978,0.00040910646803678826,200,64,0.7914110429447853,0.7021276595744681,0.6881720430107527,0.16822277009487152,66
thomas,16,0.0009629768213467637,0.0005533979057605396,100,16,0.7907949790794979,0.5882352941176471,0.6231884057971014,0.24494288861751556,13
boai,32,0.0004969182055094169,0.0008257701388903614,200,64,0.8075471698113208,0.7894736842105263,0.84,0.17118270695209503,20
full,4,0.0006174981898357404,0.00041470796112900933,200,64,0.75,0.6486486486486487,0.6,0.19686445593833923,67
nadia,4,0.000852049911662978,0.00040910646803678826,200,64,0.7914110429447853,0.7021276595744681,0.6881720430107527,0.16822277009487152,66
thomas,16,0.0009629768213467637,0.0005533979057605396,100,16,0.7907949790794979,0.5882352941176471,0.6231884057971014,0.24494288861751556,13
boai,32,0.0004969182055094169,0.0008257701388903614,200,64,0.8075471698113208,0.7894736842105263,0.84,0.17118270695209503,20
full,4,0.0006174981898357404,0.00041470796112900933,200,64,0.75,0.6486486486486487,0.6,0.19686445593833923,67
