hidden_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,1.0994335574766187e-05,0.0009699098521619943,50,16,0.47924528301886793,0.5263157894736842,0.56,0.6985786557197571,50
4,3.8396292998041685e-05,0.0003663618432936917,100,32,0.4867924528301887,0.5263157894736842,0.56,0.42922666668891907,100
8,0.0008536189862866829,0.0008083973481164612,200,64,0.8301886792452831,0.7631578947368421,0.8266666666666667,0.19477447867393494,30
16,4.201672054372529e-05,0.0005200680211778109,50,32,0.5773584905660377,0.6842105263157895,0.6933333333333334,0.2928532660007477,50
16,1.2315571723666024e-05,0.00032533033076326436,50,16,0.5320754716981132,0.6052631578947368,0.6533333333333333,0.3466186225414276,50
16,0.0003503398491158688,0.0001987156815341724,200,32,0.7924528301886793,0.7894736842105263,0.8133333333333334,0.18447574973106384,25
8,4.589824181495648e-05,6.355835028602363e-05,100,16,0.5660377358490566,0.5789473684210527,0.6933333333333334,0.300700843334198,100
16,0.0003482846706526881,0.0004937955963643907,100,16,0.7849056603773585,0.7631578947368421,0.7866666666666666,0.1799335926771164,16
4,6.618595597183474e-05,0.0007555511385430487,100,32,0.4981132075471698,0.5263157894736842,0.5866666666666667,0.3306719660758972,100
16,0.0006097025297491432,0.0005393422419156508,50,16,0.7849056603773585,0.7631578947368421,0.7866666666666666,0.17939214408397675,9
32,0.00019036906911441888,0.0006400885024675561,50,64,0.8,0.8157894736842105,0.8,0.17517273128032684,50
32,0.00017937722033317452,0.0006437127366238236,50,64,0.769811320754717,0.8157894736842105,0.8,0.17736992239952087,50
32,0.00016339694124409884,0.0007270636015403867,50,64,0.7509433962264151,0.7894736842105263,0.8,0.18302857875823975,50
32,0.00013923537883791615,0.0006458564407032411,50,64,0.6867924528301886,0.7368421052631579,0.72,0.19877363741397858,50
32,0.00022575434418905808,0.0009184944938739583,50,64,0.8075471698113208,0.7631578947368421,0.7733333333333333,0.1740383356809616,48
32,0.0004107133927362672,0.0009816164937480447,50,64,0.8,0.7894736842105263,0.8133333333333334,0.17352157831192017,24
32,0.00039036693806008453,0.000997392971779977,200,64,0.8,0.7894736842105263,0.8266666666666667,0.17386017739772797,25
32,0.00046643677618952723,0.0008796139267265124,200,64,0.8037735849056604,0.7894736842105263,0.8266666666666667,0.1716880202293396,21
32,0.0009573164519597985,0.0008922713060077643,200,64,0.8075471698113208,0.8157894736842105,0.84,0.17575746774673462,10
32,0.0004969182055094169,0.0008257701388903614,200,64,0.8075471698113208,0.7894736842105263,0.84,0.17118270695209503,20
4,0.0006083787894210081,0.0008377122307106163,200,64,0.7924528301886793,0.7105263157894737,0.7866666666666666,0.19518813490867615,56
32,0.00047981562165459366,0.0008669635690722834,200,64,0.8150943396226416,0.8157894736842105,0.8133333333333334,0.17147399485111237,21
32,0.000555897162833487,0.0008459454445254592,200,64,0.8264150943396227,0.7631578947368421,0.7733333333333333,0.17152678966522217,19
32,0.00028422071176164166,0.0007513293810287822,200,64,0.8037735849056604,0.8157894736842105,0.8133333333333334,0.17458617687225342,35
32,0.00010306715830745972,0.000798347684348633,200,64,0.8113207547169812,0.7894736842105263,0.8266666666666667,0.17623700201511383,100
32,0.0006610816914071653,0.0007146764572233301,200,64,0.8226415094339623,0.7631578947368421,0.7866666666666666,0.17429225146770477,16
32,0.0005511584788274223,0.0008948312085627061,200,64,0.8226415094339623,0.7631578947368421,0.7733333333333333,0.17141392827033997,19
32,0.0009933804605517435,0.0009193686372168747,200,64,0.8,0.7894736842105263,0.8266666666666667,0.17588256299495697,9
8,0.00026524667980639994,0.0005789943496439577,200,32,0.8301886792452831,0.7894736842105263,0.8,0.194276362657547,59
4,1.7959228826212277e-05,0.000443475548033875,200,64,0.47924528301886793,0.5263157894736842,0.56,0.5146305561065674,200
