hidden_size,hidden2_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,0,0.000462258900102083,0.00021233911067827617,200,32,0.8566037735849057,0.7631578947368421,0.7866666666666666,0.19815988838672638,52
16,0,2.5081156860452307e-05,0.0005142344384136116,200,16,0.7849056603773585,0.7368421052631579,0.88,0.1710134893655777,200
16,8,1.7541893487450798e-05,0.0004951769101112702,100,16,0.47924528301886793,0.5263157894736842,0.56,0.35175395011901855,100
8,0,0.0001569639638866114,0.0009218742350231169,100,64,0.5207547169811321,0.5789473684210527,0.6,0.3241589665412903,100
8,4,1.4096175149815848e-05,0.0009868869366005174,200,16,0.47924528301886793,0.5263157894736842,0.56,0.6841342449188232,200
4,0,4.589824181495648e-05,6.355835028602363e-05,100,16,0.47924528301886793,0.5263157894736842,0.56,0.3658025562763214,100
16,4,0.00011103647313054615,0.00042754101835854963,100,64,0.47924528301886793,0.5263157894736842,0.56,0.3578512668609619,100
8,0,3.797544798678414e-05,0.00016122128725400443,50,16,0.47924528301886793,0.5263157894736842,0.56,0.5310578942298889,50
4,0,2.8567374298471872e-05,0.00042710778862625634,50,16,0.47924528301886793,0.5263157894736842,0.56,0.4395943284034729,50
8,0,5.336533066379606e-05,0.0009717820827209606,200,64,0.47924528301886793,0.5263157894736842,0.56,0.4162027835845947,200
16,8,0.00030039523655512294,0.0007331983444045203,200,32,0.8452830188679246,0.868421052631579,0.8666666666666667,0.14367760717868805,33
16,8,0.00038328652429799346,0.0007371364653349515,200,32,0.8528301886792453,0.868421052631579,0.8666666666666667,0.14365603029727936,26
16,8,0.0009526895728554655,0.0007263373359450654,200,32,0.8415094339622642,0.868421052631579,0.8666666666666667,0.1476857215166092,10
16,8,0.0002506472211801567,0.0007241700527484162,200,32,0.8452830188679246,0.868421052631579,0.88,0.14332465827465057,38
16,8,0.00025552139800256535,0.0007578320723279954,200,32,0.8452830188679246,0.868421052631579,0.88,0.14327141642570496,38
16,8,0.00018574882785362263,0.0006446736852680856,200,32,0.8377358490566038,0.868421052631579,0.88,0.14296717941761017,51
4,8,0.0001589521341642734,0.00059264027606897,50,32,0.4830188679245283,0.5263157894736842,0.56,0.3744886815547943,50
16,8,0.0006640658828345967,0.0006114866774803915,200,32,0.8490566037735849,0.8947368421052632,0.8666666666666667,0.14538048207759857,15
16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8490566037735849,0.868421052631579,0.88,0.14224940538406372,139
16,4,7.38347736801689e-05,0.0008596498751955511,50,32,0.47924528301886793,0.5263157894736842,0.56,0.42639467120170593,50
4,8,8.076701227703638e-05,0.0008475134135907933,200,32,0.6188679245283019,0.5789473684210527,0.6133333333333333,0.24780745804309845,200
16,8,0.00018010984968307059,0.000826501211603,200,32,0.8377358490566038,0.868421052631579,0.88,0.14307627081871033,52
16,8,0.00013995851554667458,0.0008437074100818446,200,32,0.8415094339622642,0.868421052631579,0.88,0.14266590774059296,70
16,8,0.00011356502661470113,0.0006733467046544348,200,32,0.8377358490566038,0.868421052631579,0.88,0.14283378422260284,84
16,8,0.00010620007898582167,0.000899586525086655,200,32,0.8490566037735849,0.868421052631579,0.88,0.1427568942308426,93
16,8,6.431873710461319e-05,0.0009035089018908087,200,64,0.7396226415094339,0.7105263157894737,0.84,0.15871982276439667,200
16,4,0.00010057327233396856,0.0008127170111536186,200,32,0.47924528301886793,0.5263157894736842,0.56,0.2802256941795349,200
16,8,3.271588804711897e-05,0.0009929460335019245,200,32,0.6792452830188679,0.7105263157894737,0.8,0.18396233022212982,200
4,8,8.768568674902664e-05,0.0009081708463409281,100,32,0.4830188679245283,0.5263157894736842,0.56,0.36289915442466736,100
16,8,0.00013138237207954085,0.0002735722787864487,50,32,0.6943396226415094,0.7105263157894737,0.8266666666666667,0.18081159889698029,50
