hidden_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,1.0994335574766187e-05,0.0009699098521619943,50,16,0.48846153846153845,0.4864864864864865,0.5733333333333334,0.41997960209846497,50
4,3.8396292998041685e-05,0.0003663618432936917,100,32,0.4846153846153846,0.4594594594594595,0.5733333333333334,1.3311179876327515,100
8,0.0008536189862866829,0.0008083973481164612,200,64,0.7346153846153847,0.7027027027027027,0.6133333333333333,0.1985003799200058,42
16,4.201672054372529e-05,0.0005200680211778109,50,32,0.46923076923076923,0.5135135135135135,0.5866666666666667,0.3194577991962433,50
16,1.2315571723666024e-05,0.00032533033076326436,50,16,0.46923076923076923,0.4594594594594595,0.5466666666666666,0.3794395327568054,50
16,0.0003503398491158688,0.0001987156815341724,200,32,0.7346153846153847,0.7567567567567568,0.5733333333333334,0.1928209811449051,37
8,4.589824181495648e-05,6.355835028602363e-05,100,16,0.6076923076923076,0.5675675675675675,0.64,0.25596505403518677,100
16,0.0003482846706526881,0.0004937955963643907,100,16,0.7115384615384616,0.7297297297297297,0.6,0.18844281136989594,17
4,6.618595597183474e-05,0.0007555511385430487,100,32,0.4846153846153846,0.4594594594594595,0.5733333333333334,1.163269281387329,100
16,0.0006097025297491432,0.0005393422419156508,50,16,0.7115384615384616,0.7297297297297297,0.64,0.18621310591697693,9
32,0.00019036906911441888,0.0006400885024675561,50,64,0.6576923076923077,0.5405405405405406,0.6133333333333333,0.2702248990535736,50
16,0.0008446219046250065,0.000526592055394477,100,16,0.7269230769230769,0.7567567567567568,0.5733333333333334,0.18587112426757812,8
16,0.0009629768213467637,0.0005533979057605396,100,16,0.7115384615384616,0.7297297297297297,0.6133333333333333,0.1854562908411026,5
32,0.0008575446467802412,0.0006731473523951901,100,16,0.7423076923076923,0.7297297297297297,0.6133333333333333,0.21637849509716034,9
16,0.00020200513082957767,0.0003476334304965826,100,16,0.7115384615384616,0.7567567567567568,0.6,0.19112013280391693,32
16,0.0004089841557447971,0.0009103490238321515,100,16,0.7153846153846154,0.7297297297297297,0.6133333333333333,0.18838657438755035,15
16,0.00012911711403145064,0.00045050123375911077,100,64,0.6884615384615385,0.6756756756756757,0.6666666666666666,0.20589107275009155,100
4,0.0009775523123002829,0.0006156614045764627,200,16,0.7269230769230769,0.5945945945945946,0.6533333333333333,0.2728760838508606,37
32,0.0005385690029390998,0.0002245893750092813,100,16,0.7269230769230769,0.7297297297297297,0.6,0.2149619609117508,13
16,0.000211365546553159,0.0007702016320945113,100,64,0.7,0.7027027027027027,0.6533333333333333,0.19658413529396057,78
16,0.0005821818802636782,4.7401196530896675e-06,200,16,0.7115384615384616,0.7297297297297297,0.64,0.18655090034008026,9
16,0.0005812088655255642,0.0005660391783224243,50,16,0.7115384615384616,0.7297297297297297,0.64,0.18655747175216675,9
16,0.0009587310070660764,0.00043620617103703503,50,16,0.7115384615384616,0.7297297297297297,0.6133333333333333,0.1854998618364334,5
16,0.0009966442661439388,0.00042640402658470364,50,16,0.7115384615384616,0.7297297297297297,0.6133333333333333,0.18516525626182556,5
16,0.0003091801219880034,0.0004248037986808012,50,16,0.7076923076923077,0.7297297297297297,0.6133333333333333,0.18857388198375702,19
16,0.000452757697264825,0.00022915558625596368,50,16,0.7115384615384616,0.7567567567567568,0.6133333333333333,0.18793775141239166,13
4,2.527709972453576e-05,0.0004026952316999526,50,16,0.4846153846153846,0.4594594594594595,0.5733333333333334,1.4466029405593872,50
32,0.000993824811687036,0.0002843601868522235,50,16,0.7230769230769231,0.7297297297297297,0.6,0.21458972990512848,7
8,0.0001017162060792327,0.0001661264149733648,50,64,0.5,0.5135135135135135,0.6,0.3495005965232849,50
8,0.00027129272809075855,0.00046675302675258743,50,32,0.7038461538461539,0.6216216216216216,0.6,0.21806985139846802,50
