hidden_size,hidden2_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,0,0.000462258900102083,0.00021233911067827617,200,32,0.8067484662576687,0.7872340425531915,0.7204301075268817,0.18070441484451294,71
16,0,2.5081156860452307e-05,0.0005142344384136116,200,16,0.6411042944785276,0.7446808510638298,0.6559139784946236,0.21820510923862457,200
16,8,1.7541893487450798e-05,0.0004951769101112702,100,16,0.4785276073619632,0.5319148936170213,0.6129032258064516,0.30304867029190063,100
8,0,0.0001569639638866114,0.0009218742350231169,100,64,0.4815950920245399,0.5319148936170213,0.5913978494623656,0.2667761743068695,100
8,4,1.4096175149815848e-05,0.0009868869366005174,200,16,0.4723926380368098,0.5106382978723404,0.6021505376344086,0.4545426070690155,200
4,0,4.589824181495648e-05,6.355835028602363e-05,100,16,0.5828220858895705,0.6170212765957447,0.6236559139784946,0.26210495829582214,100
16,4,0.00011103647313054615,0.00042754101835854963,100,64,0.4723926380368098,0.5106382978723404,0.5913978494623656,0.2921498417854309,100
8,0,3.797544798678414e-05,0.00016122128725400443,50,16,0.4754601226993865,0.5319148936170213,0.5913978494623656,0.32201945781707764,50
4,0,2.8567374298471872e-05,0.00042710778862625634,50,16,0.4754601226993865,0.5106382978723404,0.5913978494623656,0.4269005060195923,50
8,0,5.336533066379606e-05,0.0009717820827209606,200,64,0.4785276073619632,0.5319148936170213,0.5913978494623656,0.2889014780521393,200
8,8,0.0006527969516700404,0.00023247315077141087,200,32,0.7975460122699386,0.8085106382978723,0.7204301075268817,0.15224944055080414,67
8,8,0.0007180493340227154,0.00024042109084244185,200,32,0.8159509202453987,0.8297872340425532,0.7204301075268817,0.1521897315979004,67
8,8,0.0009725246880332398,0.00027312786263691585,200,32,0.745398773006135,0.7872340425531915,0.7311827956989247,0.15415862202644348,19
8,8,0.000337662980932255,0.0006768180580956149,200,32,0.7392638036809815,0.7659574468085106,0.7204301075268817,0.15282604098320007,70
8,8,0.0009489268068336011,3.896186538738887e-06,200,32,0.7883435582822086,0.7872340425531915,0.7096774193548387,0.15133096277713776,48
4,8,0.0002379353796059849,1.8336371699043627e-05,200,32,0.7423312883435583,0.7872340425531915,0.7096774193548387,0.16959480941295624,156
8,8,0.0009975297682772253,9.54929130252037e-05,50,32,0.745398773006135,0.7872340425531915,0.7311827956989247,0.15430589020252228,19
8,8,0.0004973541716877471,0.0002879092994650642,200,32,0.7484662576687117,0.7659574468085106,0.7204301075268817,0.1517610400915146,52
4,8,0.0003327528914795915,0.0006779708590874543,200,32,0.7515337423312883,0.7872340425531915,0.7204301075268817,0.17057998478412628,95
16,4,0.00018140837457893843,0.00030321201455153383,50,32,0.5122699386503068,0.5531914893617021,0.6021505376344086,0.24017561972141266,50
8,8,7.481534382760812e-05,0.0001372728793976797,200,32,0.7331288343558282,0.7872340425531915,0.6989247311827957,0.15967494249343872,200
8,8,0.0005720271918825686,0.0003246204472588956,200,32,0.7760736196319018,0.7659574468085106,0.6989247311827957,0.15055201947689056,70
8,8,0.0005046940213140299,0.0003491039673293,200,32,0.7484662576687117,0.7659574468085106,0.7204301075268817,0.15191732347011566,52
8,8,0.0003536044460025103,0.0006733467046544348,200,32,0.745398773006135,0.7659574468085106,0.7311827956989247,0.1527678370475769,70
8,8,0.0005968394457047832,0.00038393354462769736,200,32,0.7914110429447853,0.7659574468085106,0.6989247311827957,0.1504075825214386,70
8,8,0.0007160392966260346,0.0003971039158381317,200,64,0.7607361963190185,0.7659574468085106,0.7311827956989247,0.14837338030338287,72
8,4,0.0002340038390581165,0.00059704467503944,200,64,0.7392638036809815,0.7872340425531915,0.7096774193548387,0.15126487612724304,192
8,8,0.0006654552434519148,0.00036614087939290836,200,64,0.7515337423312883,0.7659574468085106,0.7419354838709677,0.1486324816942215,72
16,8,0.0002699867152421337,0.00039344479833387737,100,64,0.7668711656441718,0.7872340425531915,0.7096774193548387,0.1518164575099945,100
4,8,0.0004111018348551663,0.0005009178026365148,50,64,0.6840490797546013,0.7872340425531915,0.6774193548387096,0.17503419518470764,50
