hidden_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,1.0994335574766187e-05,0.0009699098521619943,50,16,0.4785276073619632,0.5106382978723404,0.5913978494623656,0.4341725707054138,50
4,3.8396292998041685e-05,0.0003663618432936917,100,32,0.4754601226993865,0.5106382978723404,0.5913978494623656,0.37531137466430664,100
8,0.0008536189862866829,0.0008083973481164612,200,64,0.7852760736196319,0.7021276595744681,0.6666666666666666,0.19419646263122559,38
16,4.201672054372529e-05,0.0005200680211778109,50,32,0.4815950920245399,0.5319148936170213,0.5913978494623656,0.41563811898231506,50
16,1.2315571723666024e-05,0.00032533033076326436,50,16,0.4723926380368098,0.5106382978723404,0.5806451612903226,0.4894082546234131,50
16,0.0003503398491158688,0.0001987156815341724,200,32,0.7975460122699386,0.6808510638297872,0.6666666666666666,0.1918206512928009,67
8,4.589824181495648e-05,6.355835028602363e-05,100,16,0.7269938650306749,0.7446808510638298,0.6774193548387096,0.211776465177536,100
16,0.0003482846706526881,0.0004937955963643907,100,16,0.7975460122699386,0.6808510638297872,0.6559139784946236,0.18837040662765503,35
4,6.618595597183474e-05,0.0007555511385430487,100,32,0.5153374233128835,0.5531914893617021,0.6129032258064516,0.2863589823246002,100
16,0.0006097025297491432,0.0005393422419156508,50,16,0.8006134969325154,0.7021276595744681,0.6559139784946236,0.1900079995393753,18
32,0.00020339422223767398,0.0006518665507781786,100,64,0.7914110429447853,0.7021276595744681,0.7096774193548387,0.17973875999450684,89
32,0.00018324191465505623,0.0006437127366238236,100,64,0.7883435582822086,0.723404255319149,0.7096774193548387,0.18027770519256592,96
32,0.00016625082931436572,0.0007270636015403867,100,64,0.7791411042944786,0.723404255319149,0.6989247311827957,0.1806885302066803,100
32,0.00014697361282245321,0.0006458564407032411,100,64,0.7852760736196319,0.7446808510638298,0.6774193548387096,0.18241040408611298,100
32,0.00022575434418905808,0.0009228175259595563,100,64,0.7883435582822086,0.7021276595744681,0.6881720430107527,0.180098757147789,89
32,0.0004107133927362672,0.0009822533573289741,100,64,0.7883435582822086,0.6808510638297872,0.6774193548387096,0.18195150792598724,45
32,0.00021610256337185017,0.0008711464908919611,200,64,0.7883435582822086,0.7021276595744681,0.6989247311827957,0.17980951070785522,89
32,9.299622511022803e-05,0.0008671636051695952,200,64,0.7822085889570553,0.7021276595744681,0.6774193548387096,0.18132752180099487,178
32,0.00010095113887814111,0.0006895161804439512,200,64,0.7791411042944786,0.7021276595744681,0.6881720430107527,0.18096353113651276,178
32,0.0002386879676733204,0.000851736962032621,200,64,0.7914110429447853,0.7021276595744681,0.6774193548387096,0.18075554072856903,89
4,0.0005712729174688173,0.0005890980787650584,200,64,0.7760736196319018,0.7446808510638298,0.6559139784946236,0.17180564999580383,75
4,0.0006216380855783162,0.0005769491738896778,200,64,0.7791411042944786,0.7446808510638298,0.6451612903225806,0.17052926123142242,67
4,0.0009365820659423504,0.0004183202534616022,200,64,0.803680981595092,0.7446808510638298,0.6881720430107527,0.1689317673444748,54
4,0.0009948398398498483,0.0004096217824543423,200,64,0.7975460122699386,0.7446808510638298,0.6666666666666666,0.16870461404323578,52
4,0.000852049911662978,0.00040910646803678826,200,64,0.7914110429447853,0.7021276595744681,0.6881720430107527,0.16822277009487152,66
4,0.000977719420414849,0.0004027212650400504,200,64,0.8006134969325154,0.7446808510638298,0.6774193548387096,0.16876837611198425,52
4,0.0008858071760816404,0.0002693901600791123,200,64,0.7914110429447853,0.6808510638297872,0.6774193548387096,0.1686023622751236,66
4,0.0004473663373759676,0.0002609642115136448,200,64,0.7975460122699386,0.7021276595744681,0.6559139784946236,0.17422440648078918,107
4,0.0007111633457429364,0.0001597743345161405,200,32,0.803680981595092,0.6808510638297872,0.6666666666666666,0.17076735198497772,49
4,1.7959228826212277e-05,6.748587306217545e-07,200,64,0.4723926380368098,0.5106382978723404,0.5913978494623656,0.4674730896949768,200
