dataset,n_samples,n_features,train_acc,val_acc,test_acc,best_val_loss,lr,weight_decay,epochs,batch_size,loss,reuse
nadia,174,17,0.8360655737704918,1.0,1.0,0.06239747256040573,0.009843568124815667,0.0008631348679090753,124,8,mse,0
thomas,98,17,0.9855072463768116,0.9333333333333333,0.7857142857142857,0.09925960004329681,0.009817469197495834,0.00012035886512649833,51,32,mse,0
boai,144,17,0.9207920792079208,0.8636363636363636,0.9047619047619048,0.12645597755908966,0.009953334107642306,1.217966944023717e-05,155,16,mse,0
full,102,17,0.9154929577464789,0.8,0.875,0.1528649479150772,0.008756023607195526,0.00022177505054710202,149,8,mse,0
nadia,174,17,0.8360655737704918,1.0,1.0,1.0,0.06239747256040573,0.009843568124815667,0.0008631348679090753,124,8,mse,1
thomas,98,17,0.9855072463768116,0.9333333333333333,0.7857142857142857,0.7692307692307692,0.09925960004329681,0.009817469197495834,0.00012035886512649833,51,32,mse,1
boai,144,17,0.9207920792079208,0.8636363636363636,0.9047619047619048,0.8888888888888888,0.12645597755908966,0.009953334107642306,1.217966944023717e-05,155,16,mse,1
full,102,17,0.9154929577464789,0.8,0.875,0.9090909090909091,0.1528649479150772,0.008756023607195526,0.00022177505054710202,149,8,mse,1
nadia,174,17,0.8360655737704918,1.0,1.0,1.0,0.06239747256040573,0.009843568124815667,0.0008631348679090753,124,8,mse,1
thomas,98,17,0.9855072463768116,0.9333333333333333,0.7857142857142857,0.7692307692307692,0.09925960004329681,0.009817469197495834,0.00012035886512649833,51,32,mse,1
boai,144,17,0.9207920792079208,0.8636363636363636,0.9047619047619048,0.8888888888888888,0.12645597755908966,0.009953334107642306,1.217966944023717e-05,155,16,mse,1
full,102,17,0.9154929577464789,0.8,0.875,0.9090909090909091,0.1528649479150772,0.008756023607195526,0.00022177505054710202,149,8,mse,1
nadia,174,17,0.8360655737704918,1.0,1.0,1.0,0.06239747256040573,0.009843568124815667,0.0008631348679090753,124,8,mse,1
thomas,98,17,0.9855072463768116,0.9333333333333333,0.7857142857142857,0.7692307692307692,0.09925960004329681,0.009817469197495834,0.00012035886512649833,51,32,mse,1
boai,144,17,0.9207920792079208,0.8636363636363636,0.9047619047619048,0.8888888888888888,0.12645597755908966,0.009953334107642306,1.217966944023717e-05,155,16,mse,1
full,102,17,0.9154929577464789,0.8,0.875,0.9090909090909091,0.1528649479150772,0.008756023607195526,0.00022177505054710202,149,8,mse,1
