                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.47572,                0.61293,                0.30748,                0.93214,                  0.997,                 0.9933,                0.99492,                0.94643,                0.99401,                0.99038,                 0.9942,                0.90679,                 0.3727,                0.40088,                 0.2549,                0.82565,              0.0095446,              0.0095446,              0.0095446
                     26,                0.46844,                0.59215,                 0.3053,                0.92571,                0.99876,                0.99627,                0.99499,                0.94978,                0.99539,                0.99291,                0.99358,                0.90826,                0.37684,                 0.4042,                0.24171,                0.82423,              0.0095248,              0.0095248,              0.0095248
                     27,                0.46805,                0.59225,                0.30091,                0.92929,                0.99838,                0.99664,                0.99497,                0.95209,                0.99666,                0.99329,                0.99453,                 0.9172,                0.36315,                0.38411,                0.24135,                0.81628,               0.009505,               0.009505,               0.009505
                     28,                0.46686,                0.59988,                0.30092,                0.92781,                0.99813,                0.99676,                  0.995,                0.95281,                0.99477,                0.99341,                 0.9941,                0.90603,                0.35731,                0.38265,                0.23604,                0.81548,              0.0094852,              0.0094852,              0.0094852
                     29,                0.45759,                0.58461,                0.29685,                0.92285,                 0.9985,                0.99596,                  0.995,                0.95415,                0.99664,                0.99473,                0.99423,                 0.9098,                0.35249,                0.38023,                0.23217,                0.81024,              0.0094654,              0.0094654,              0.0094654
                     30,                0.45724,                0.58513,                 0.2941,                0.92357,                0.99813,                0.99446,                0.99497,                0.95249,                0.99551,                0.99185,                0.99451,                0.90858,                0.34949,                0.36863,                0.23622,                0.80901,              0.0094456,              0.0094456,              0.0094456
                     31,                0.45097,                0.57514,                0.29108,                0.92009,                0.99888,                0.99541,                  0.995,                0.95667,                0.99663,                0.99317,                0.99484,                0.91193,                0.34476,                0.36161,                0.23107,                0.81133,              0.0094258,              0.0094258,              0.0094258
                     32,                0.45843,                0.58136,                0.29291,                0.92016,                0.99925,                0.99709,                  0.995,                0.95628,                  0.997,                0.99478,                0.99443,                0.91156,                0.34501,                0.36835,                0.23018,                0.80801,               0.009406,               0.009406,               0.009406
                     33,                0.45422,                0.59101,                0.29214,                0.92174,                0.99654,                0.99627,                  0.995,                0.95775,                0.99505,                0.99478,                0.99463,                0.92017,                0.34146,                 0.3626,                0.22682,                0.80511,              0.0093862,              0.0093862,              0.0093862
                     34,                0.44794,                0.57166,                0.28652,                0.91934,                0.99813,                0.99609,                  0.995,                0.96203,                0.99589,                0.99385,                0.99462,                0.91969,                0.33242,                0.35399,                0.22997,                0.80215,              0.0093664,              0.0093664,              0.0093664
                     35,                0.44557,                0.56278,                0.28748,                0.91782,                0.99925,                0.99626,                0.99499,                0.95907,                0.99813,                0.99514,                0.99495,                0.91775,                0.33247,                0.34573,                0.23115,                 0.8045,              0.0093466,              0.0093466,              0.0093466
                     36,                 0.4447,                0.56267,                0.28696,                 0.9163,                0.99739,                 0.9974,                  0.995,                0.95965,                0.99627,                0.99628,                0.99493,                0.91613,                0.32109,                0.34508,                0.21729,                0.79728,              0.0093268,              0.0093268,              0.0093268
                     37,                0.44318,                0.57256,                0.28722,                0.91843,                0.99917,                 0.9959,                  0.995,                 0.9615,                0.99767,                0.99441,                0.99491,                0.91954,                0.32929,                0.34602,                0.21584,                 0.8011,               0.009307,               0.009307,               0.009307
                     38,                 0.4375,                0.55268,                0.28099,                0.91232,                0.99886,                0.99776,                  0.995,                 0.9623,                0.99736,                0.99627,                0.99492,                0.92381,                0.32328,                0.34305,                0.21663,                0.79931,              0.0092872,              0.0092872,              0.0092872
                     39,                0.43732,                0.55282,                0.28272,                0.91524,                0.99916,                0.99814,                  0.995,                0.96587,                0.99804,                0.99702,                0.99497,                0.92366,                0.31528,                0.33144,                0.21223,                0.79366,              0.0092674,              0.0092674,              0.0092674
                     40,                0.43377,                0.55558,                0.28042,                0.91303,                0.99858,                0.99776,                  0.995,                0.96319,                0.99746,                0.99664,                0.99491,                0.92577,                0.31367,                0.32849,                0.21067,                0.79071,              0.0092476,              0.0092476,              0.0092476
                     41,                0.43339,                0.54429,                0.27962,                0.91163,                0.99925,                 0.9985,                  0.995,                0.96582,                0.99888,                0.99813,                  0.995,                0.92639,                0.30906,                0.32785,                 0.2079,                0.78995,              0.0092278,              0.0092278,              0.0092278
                     42,                0.43085,                0.54593,                 0.2781,                0.91074,                0.99925,                0.99705,                  0.995,                0.96935,                0.99813,                0.99593,                0.99479,                0.92808,                0.30582,                0.32469,                0.20539,                 0.7903,               0.009208,               0.009208,               0.009208
                     43,                0.42647,                0.54194,                0.27537,                0.90882,                0.99963,                0.99822,                  0.995,                 0.9693,                0.99888,                0.99747,                 0.9949,                0.92994,                0.30529,                0.31894,                0.20614,                0.78722,              0.0091882,              0.0091882,              0.0091882
                     44,                0.43199,                0.54766,                0.27812,                0.91053,                0.99952,                0.99814,                  0.995,                0.97042,                0.99952,                0.99814,                  0.995,                0.92854,                0.29887,                0.31943,                0.20074,                0.78386,              0.0091684,              0.0091684,              0.0091684
                     45,                0.42633,                0.53204,                0.27666,                0.90939,                0.99925,                0.99774,                  0.995,                0.96865,                0.99813,                0.99662,                0.99482,                0.92889,                0.29835,                 0.3195,                0.20476,                0.78494,              0.0091486,              0.0091486,              0.0091486
                     46,                0.42347,                0.53601,                0.27483,                0.90898,                0.99936,                0.99851,                  0.995,                0.97004,                0.99861,                0.99776,                0.99482,                0.93134,                0.29826,                0.31679,                0.19957,                0.78584,              0.0091288,              0.0091288,              0.0091288
                     47,                0.41804,                0.52871,                0.27241,                0.90373,                0.99919,                0.99851,                  0.995,                0.97193,                 0.9977,                0.99702,                0.99482,                0.93013,                0.29224,                0.31548,                0.19652,                 0.7836,               0.009109,               0.009109,               0.009109
                     48,                0.41924,                0.51993,                0.27143,                0.90587,                0.99951,                0.99851,                  0.995,                0.97154,                0.99839,                0.99739,                 0.9949,                 0.9317,                 0.2891,                0.31433,                0.19565,                 0.7805,              0.0090892,              0.0090892,              0.0090892
                     49,                0.41658,                0.52218,                0.27037,                0.90358,                0.99947,                0.99888,                  0.995,                0.97291,                0.99797,                0.99739,                0.99457,                0.93079,                0.28823,                0.31197,                 0.1931,                0.78195,              0.0090694,              0.0090694,              0.0090694
                     50,                0.41788,                0.52471,                0.26957,                0.90633,                      1,                0.99845,                  0.995,                0.97438,                0.99888,                0.99734,                0.99494,                0.93355,                0.28445,                0.31078,                0.19081,                0.77937,              0.0090496,              0.0090496,              0.0090496
