                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.57921,                0.17145,                0.99553,                0.86356,                0.99651,                    0.8,                0.81454,                0.76407,                0.99651,                    0.8,                0.81454,                0.79021,                    nan,                0.17545,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     27,                0.53407,                0.18149,                0.77668,                0.84458,                0.99613,                    0.8,                0.82198,                0.77521,                0.99613,                    0.8,                0.82198,                0.79237,                    nan,                0.13747,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     28,                0.55329,                0.17765,                0.81274,                0.86799,                0.99513,                    0.8,                0.82264,                0.75298,                0.99513,                    0.8,                0.82264,                0.77999,                    nan,                0.11376,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     29,                0.55403,                0.21302,                0.73694,                0.86107,                 0.9945,                    0.8,                0.81839,                0.73872,                 0.9945,                    0.8,                0.81854,                0.77402,                    nan,                0.12706,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     30,                0.54206,                0.19426,                 0.7941,                0.85542,                0.99445,                    0.8,                0.79541,                0.74026,                0.99445,                    0.8,                0.79546,                0.78267,                    nan,                0.12606,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     31,                0.52037,                0.16308,                 0.7684,                0.86194,                0.99549,                    0.8,                0.79528,                0.75119,                0.99549,                    0.8,                0.79528,                0.77572,                    nan,                0.12159,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     32,                0.46728,                0.18566,                0.68159,                 0.8469,                0.99619,                    0.8,                0.79528,                0.77442,                0.99619,                    0.8,                0.79528,                0.78404,                    nan,                0.11706,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     33,                0.47039,                0.18114,                0.71302,                0.82478,                0.99554,                    0.8,                0.79528,                0.78429,                0.99554,                    0.8,                0.79528,                0.78341,                    nan,                0.11599,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     34,                  0.511,                0.18826,                0.73412,                0.81981,                0.99536,                    0.8,                0.79539,                0.78967,                0.99536,                    0.8,                0.79549,                0.78345,                    nan,                0.14319,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     35,                0.42887,                0.15405,                0.66474,                0.82888,                0.99607,                    0.8,                0.79565,                0.78846,                0.99607,                    0.8,                0.79565,                0.78411,                    nan,                0.17181,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     36,                0.47407,                0.15871,                0.74187,                0.85626,                0.99644,                    0.8,                0.79539,                0.77862,                0.99644,                    0.8,                0.79548,                0.76284,                    nan,                0.26113,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     37,                0.44233,                0.20101,                0.66319,                0.84145,                0.99651,                    0.8,                0.79566,                0.73388,                0.99651,                    0.8,                0.79566,                0.76083,                    nan,                0.31301,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     38,                0.46939,                0.20158,                 0.7023,                0.85656,                0.99665,                    0.8,                0.79662,                0.76061,                0.99665,                    0.8,                0.79662,                0.76018,                    nan,                0.30904,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
