                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.38081,                0.22075,                 0.3621,                0.83667,                0.35211,                      1,                0.91389,                0.76127,                0.35211,                      1,                0.91389,                0.83314,                    nan,                 0.1798,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     27,                0.39077,                0.21693,                0.37083,                0.83687,                 0.6135,                      1,                0.95807,                0.69645,                 0.6135,                      1,                0.95807,                0.71107,                    nan,                0.13675,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     28,                0.36386,                0.20636,                0.34448,                0.83272,                0.60526,                   0.46,                0.57558,                0.54048,                0.60526,                   0.46,                0.57558,                0.56135,                    nan,                 0.1391,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     29,                0.35319,                0.19387,                 0.3387,                0.83124,                0.38158,                   0.87,                0.78481,                0.70726,                0.38158,                   0.87,                0.78481,                0.77049,                    nan,                 0.1393,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     30,                0.35025,                0.21326,                0.33942,                0.83191,                      1,                0.55028,                 0.8657,                  0.825,                      1,                0.55028,                 0.8657,                0.85815,                    nan,                0.13392,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     31,                0.33003,                0.21061,                0.32614,                0.83233,                0.80714,                   0.43,                0.68923,                0.62088,                0.80714,                   0.43,                0.68923,                0.67698,                    nan,                0.15158,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     32,                0.31978,                0.21329,                0.32351,                 0.8341,                0.15762,                   0.61,                0.47999,                0.44351,                0.15762,                   0.61,                0.47999,                0.44877,                    nan,                0.12311,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     33,                 0.3072,                0.18428,                0.30663,                 0.8185,                0.61971,                   0.62,                0.71469,                0.57823,                0.61971,                   0.62,                0.71469,                0.56571,                    nan,                 0.1326,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     34,                0.33629,                0.21132,                 0.3101,                  0.834,                0.68269,                   0.71,                 0.7903,                0.67871,                0.68269,                   0.71,                 0.7903,                0.69719,                    nan,                0.14053,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     35,                0.30849,                0.19621,                0.30968,                0.82525,                0.56897,                   0.99,                0.94236,                0.73301,                0.56897,                   0.99,                0.94236,                 0.9225,                    nan,                0.12676,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     36,                0.30772,                0.18813,                0.29519,                0.83564,                0.73529,                      1,                0.99389,                0.84862,                0.73529,                      1,                0.99389,                0.99295,                    nan,                0.13742,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.3158,                0.18025,                0.30379,                0.81702,                0.97101,                   0.67,                0.82862,                0.75704,                0.97101,                   0.67,                0.82862,                0.75612,                    nan,                 0.1213,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     38,                0.32394,                0.22861,                0.30393,                0.82456,                0.85437,                   0.88,                0.92739,                0.78148,                0.85437,                   0.88,                0.92739,                0.79691,                    nan,                0.11991,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     39,                0.30144,                0.18841,                0.28992,                 0.8243,                0.41176,                   0.91,                0.73328,                0.65283,                0.41176,                   0.91,                0.73474,                0.70841,                    nan,                0.14905,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.2896,                0.19964,                0.28099,                0.83057,                0.86792,                   0.46,                0.68273,                0.54003,                0.86792,                   0.46,                0.68273,                0.63654,                    nan,                0.18432,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     41,                0.29746,                0.19764,                0.29143,                0.82604,                0.59259,                   0.32,                0.43991,                0.39221,                0.59259,                   0.32,                0.43991,                0.43867,                    nan,                  0.139,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     42,                0.28569,                0.18547,                0.28065,                0.81312,                0.94286,                   0.33,                0.64443,                0.56112,                0.94286,                   0.33,                0.64443,                0.55155,                    nan,                0.15519,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     43,                 0.2941,                0.18427,                0.28616,                0.82392,                0.38824,                   0.33,                0.38591,                0.36385,                    0.4,                   0.34,                0.39972,                0.37884,                    nan,                0.12874,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     44,                0.29439,                0.19896,                0.28661,                0.82663,                    0.4,                   0.52,                0.55384,                0.51352,                    0.4,                   0.52,                0.55384,                0.53755,                    nan,                0.14897,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     45,                0.28548,                0.17695,                 0.2734,                0.82847,                    0.2,                   0.35,                 0.2305,                 0.2238,                    0.2,                   0.35,                 0.2305,                0.22218,                    nan,                0.13951,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     46,                0.28741,                0.17171,                 0.2693,                0.81801,                      1,                0.27951,                0.46003,                0.39861,                      1,                0.27951,                0.46003,                0.46003,                    nan,                0.12055,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     47,                0.29518,                0.17026,                 0.2716,                0.83057,                0.16237,                   0.63,                0.31946,                0.31103,                0.16237,                   0.63,                0.31946,                0.31511,                    nan,                 0.1153,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     48,                0.30571,                0.17153,                0.27565,                0.82207,                0.18072,                    0.3,                0.18198,                0.14723,                0.19277,                   0.32,                0.20303,                0.15287,                    nan,                0.12952,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
