                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.94009,                 2.6754,                 1.1222,                 1.0341,                0.81576,                0.66479,                0.80084,                0.53702,                0.61614,                0.56229,                0.55929,                0.14239,                    nan,                 3.2613,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     26,                0.95938,                 2.6864,                 1.1184,                 1.0318,                 0.5434,                    0.7,                0.62491,                 0.3594,                0.37885,                    0.5,                0.35103,                0.09595,                    nan,                 4.0938,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     27,                0.94845,                 2.6435,                 1.0873,                 1.0231,                 0.5156,                    0.9,                0.65886,                0.37753,                0.39086,                    0.7,                0.36327,                0.10733,                    nan,                 4.0261,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     28,                 0.8755,                 2.5065,                 1.0873,                0.99174,                0.38197,                    0.8,                0.53692,                0.34465,                0.25801,                    0.6,                 0.2474,                0.08432,                    nan,                 4.0892,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     29,                0.90628,                 2.4721,                 1.1418,                   1.04,                0.49868,                    0.4,                0.47321,                 0.3336,                0.26548,                   0.25,                0.18915,                   0.05,                    nan,                  4.081,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.9449,                 2.7075,                 1.1374,                 1.0334,                0.96147,                    0.2,                0.34934,                0.23673,                0.72111,                   0.15,                0.22215,                0.05012,                    nan,                 3.0227,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     31,                0.93614,                 2.4436,                  1.047,                 1.0084,                0.92703,                    0.2,                0.32293,                0.20878,                0.69527,                   0.15,                   0.21,                 0.0626,                    nan,                 2.9226,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     32,                0.86599,                 2.5043,                0.96355,                 1.0072,                0.72738,                0.53438,                0.59964,                 0.3542,                0.61832,                   0.45,                 0.4277,                0.11992,                    nan,                 2.9214,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     33,                0.84814,                 2.1945,                 1.0838,                0.99662,                0.80948,                    0.5,                0.58779,                0.29848,                0.57686,                   0.35,                0.38155,                0.10585,                    nan,                 2.9154,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     34,                0.91177,                 2.3811,                0.97508,                0.99275,                0.98094,                    0.3,                0.55275,                0.30692,                0.35641,                    0.3,                0.35197,                0.10746,                    nan,                 2.9548,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     35,                0.95275,                 2.5406,                 1.0107,                0.98637,                0.98337,                   0.55,                0.76439,                0.49074,                0.78317,                   0.45,                0.52492,                   0.18,                    nan,                 2.8174,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     36,                0.96772,                 2.3918,                0.98905,                0.99883,                      1,                0.49632,                0.80007,                0.54034,                0.79877,                0.39723,                0.55333,                 0.1854,                    nan,                 2.6648,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     37,                0.84957,                 2.7571,                 0.9199,                 1.0003,                0.98651,                   0.45,                0.86214,                0.57567,                0.87279,                    0.4,                 0.6908,                0.20242,                    nan,                 2.6345,                    nan,                    nan,               0.001307,               0.001307,               0.001307
